rank,name_display_last_init,team_abbrev,active_sw,player_id,pos,g,ab,r,h,d,t,hr,rbi,bb,so,sb,cs,avg,obp,slg,ops,ibb,hbp,sac,sf,tb,xbh,gidp,go,ao,go_ao,np,tpa
1," Albers, A",SEA, ,452027,P,1,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,0,0,2,0,1,0,0,2,0,*.**,8,3
1," Blair, A",ATL, ,594760,P,1,1,0,1,0,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000,0,0,0,0,1,0,0,0,0,-.--,6,2
1," Gilmartin, S",STL, ,543219,P,2,1,1,1,1,0,0,1,0,0,0,0,1.000,1.000,2.000,3.000,0,0,0,0,2,1,0,0,0,-.--,1,1
1," Holland, D",CWS, ,502706,P,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,0,1,0,0,0,0,-.--,4,1
1," Iglesias, R",CIN, ,628452,P,60,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0,0,0,0,2,1,0,0,0,-.--,2,1
1," Kratz, E",NYY, ,456124,C,4,2,0,2,1,0,0,2,0,0,0,0,1.000,1.000,1.500,2.500,0,0,0,0,3,1,0,0,0,-.--,5,2
1," Price, D",BOS, ,456034,P,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,0,1,0,0,0,0,-.--,1,1
1," Torres, J",SD, ,600526,P,57,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,0,1,0,0,0,0,-.--,2,1
9," Ramirez, E",SEA, ,541640,P,4,3,0,2,0,0,0,1,0,1,0,0,.667,.667,.667,1.333,0,0,0,0,2,0,0,0,0,-.--,10,3
10," Andujar, M",NYY, ,609280,3B,5,7,0,4,2,0,0,4,1,0,1,0,.571,.625,.857,1.482,0,0,0,0,6,2,0,3,0,*.**,35,8
11," Buchanan, J",ARI, ,594772,P,4,2,1,1,0,0,0,1,1,1,0,0,.500,.667,.500,1.167,0,0,0,0,1,0,0,0,0,-.--,16,3
11," Duffy, D",KC, ,518633,P,1,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,0,-.--,6,2
11," Enns, D",MIN, ,608650,P,1,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,0,-.--,5,2
11," Gallardo, Y",SEA, ,451596,P,1,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,1,0,*.**,8,2
11," Gonzales, M",SEA, ,594835,P,2,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,1,0,1,0,0,1,0,*.**,12,3
11," Jansen, K",LAD, ,445276,P,59,4,0,2,1,0,0,1,0,0,0,0,.500,.500,.750,1.250,0,0,0,0,3,1,1,3,0,*.**,7,4
11," Kluber, C",CLE, ,446372,P,1,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,1,0.00,11,2
11," Mengden, D",OAK, ,596043,P,1,2,1,1,0,0,0,0,1,0,0,0,.500,.667,.500,1.167,0,0,1,0,1,0,0,2,0,*.**,18,4
11," Meyer, A",LAA, ,543542,P,1,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,0,-.--,9,2
11," Morgan, A",PHI, ,605388,P,36,2,0,1,0,0,0,0,1,1,0,0,.500,.667,.500,1.167,0,0,0,0,1,0,0,0,0,-.--,18,3
11," Pena, F",BAL, ,506747,C,5,10,3,5,0,0,2,2,0,3,0,0,.500,.500,1.100,1.600,0,0,0,0,11,2,0,2,0,*.**,38,10
11," Rondon, H",CHC, ,444468,P,59,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,1,0,*.**,14,2
11," Salas, F",LAA, ,477569,P,46,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,0,-.--,7,2
11," Stammen, C",SD, ,489334,P,57,6,2,3,1,0,0,0,2,2,0,0,.500,.625,.667,1.292,0,0,0,0,4,1,0,1,0,*.**,37,8
25," Ceciliani, D",TOR, ,571553,LF,3,5,2,2,1,0,1,3,0,0,0,0,.400,.400,1.200,1.600,0,0,0,0,6,2,0,1,2,0.50,27,5
26," Smith Jr., D",TOR, ,596105,RF,12,27,2,10,2,0,0,1,1,10,1,0,.370,.414,.444,.858,0,1,0,0,12,2,0,3,4,0.75,122,29
27," Moran, C",HOU, ,592567,3B,7,11,3,4,0,1,1,3,1,1,0,0,.364,.417,.818,1.235,0,0,0,0,9,2,0,4,2,2.00,37,12
28," Stallings, J",PIT, ,607732,C,5,14,3,5,2,0,0,3,2,2,0,0,.357,.438,.500,.938,1,0,0,0,7,2,0,4,3,1.33,61,16
