TweetID,TweetTime,TweetText,TweetLang,TimeZone,FollowerCount
979577690998169601,2018-03-30 04:34:55.473000000,Totally forgot about pacific rim 2 being out,en,None,367
979577824829890560,2018-03-30 04:35:27.430000000,     Pacific Rim  Actress Rinko Kikuchi Joins  Westworld  Season 2    ,en,Pacific Time (US & Canada),1073
979578023782461440,2018-03-30 04:36:14.897000000,I want to go watch tomb raider  love Simon  pacific rim  and ready player one ,en,Arizona,557
979578132910010368,2018-03-30 04:36:40.843000000,     Kory what are you thinking about  I super love the first Pacific Rim but why did Newt say that kaiju have two brains  like a ,en,None,115
979578201809678336,2018-03-30 04:36:57.260000000,     Pacific Rim  Actress Rinko Kikuchi Joins  Westworld  Season 2    ,en,None,86
979578394059796480,2018-03-30 04:37:43.297000000,Can i just say pacific rim s fight scenes are SOLID  ,en,Singapore,598
979578590743298049,2018-03-30 04:38:30.173000000,    Just wrote a highly detailed review of Pacific Rim  Uprising and what it means to the mech canon   ,en,Pacific Time (US & Canada),382
979578638898159616,2018-03-30 04:38:42,Rewatching Pacific Rim here and there and the first fight scene still makes me choke up   ,en,Asia/Tokyo,59
979578710184558594,2018-03-30 04:38:58.860000000,The fact that Pacific Rim showed a Mobile Suit Gundam and Anaheim almost made me cry  My favorite anime is slowly c   ,en,None,139
979578792078438400,2018-03-30 04:39:18.100000000,Something set up approximately 200 TFs from the same thing  I don t have gone to make halos for pacific rim 2  bring coffee,en,None,14
979579004725420033,2018-03-30 04:40:08.730000000,Pacific Rim 2 Giant robots doing sick moves   Giant Aliens roaring   John Boyega    10 10,en,Pacific Time (US & Canada),132
979579350524878848,2018-03-30 04:41:31.227000000,NEW DIAMOND SELECT PACIFIC RIM 2 UPRISING SERIES 1 ACTION FIGURES   IN STOCK  ,en,None,304
979579351804018690,2018-03-30 04:41:31.640000000,NEW DIAMOND SELECT PACIFIC RIM 2 UPRISING SERIES 1 ACTION FIGURES   IN STOCK  ,en,None,304
979579367847178240,2018-03-30 04:41:35.307000000,I saw Pacific Rim      I wish a lot of things but it s still a good fun monster smash movie,en,None,2955
979579385144426496,2018-03-30 04:41:39.927000000,Pacific Rim 2 is your typical popcorn film  The action and effects are great  but if you re expecting a reviting st   ,en,None,119
979579574207090688,2018-03-30 04:42:24.523000000,Pacific Rim  Uprising Soundtrack  by Lorne Balfe   ,en,None,0
979579647611539456,2018-03-30 04:42:41.990000000,Pacific Rim Uprising was      Was mainly just wanting it to be over  What a disgrace  Had some cool ideas but other than that     ,en,None,42
979579801018122240,2018-03-30 04:43:18.580000000,Pacific Rim 2 is better than Ready Player One ,en,America/Boise,86
979580024847089664,2018-03-30 04:44:12.097000000,  Aww dang it  Is this the current trend now in Hollywood  before this Pacific Rim Uprising  now this   ,en,Beijing,227
979580122079481856,2018-03-30 04:44:35.260000000,    why these eonni tagging me       Marina SECHSKIES Sad Song Goblin Pacific Rim 2 Malay  English     mocha You all need to do ,en,None,118
979580181273747457,2018-03-30 04:44:49.277000000,Pacific Rim Uprising was good  Could ve been even better if they leaned into the cheese and had MGS1 level line delivery,en,Pacific Time (US & Canada),2588
979580577555783680,2018-03-30 04:46:24.290000000,Pacific Rim  Uprising 2 5 5    oscarvepelis  letterboxd  moviereview  cinepolis  pacificrim  pacificrimuprising  ,en,None,25
979580612339101697,2018-03-30 04:46:32.060000000,I d say  what   said   but she s sneaky  Pacific Rim was an absolute  utter  fun as hell delight and   ,en,Pacific Time (US & Canada),84
979580684661600256,2018-03-30 04:46:49.670000000,Pacific Rim Uprising     Pacific Rim Uprising  ,en,Central Time (US & Canada),93
979580821483937792,2018-03-30 04:47:21.947000000,This is really what I needed after the abysmal Pacific Rim 2  It s a great adventure movie that s visually gorgeous   ,en,None,95
979580938030956545,2018-03-30 04:47:49.703000000,    Pacific rim 2 was the fuckin shit   ,en,Arizona,279
979581015709700096,2018-03-30 04:48:08.323000000,Pacific Rim original flavor was definitely better  but like  harry potter 1 was also better than harry potter 2  tr   ,en,Central Time (US & Canada),93
979581053017837568,2018-03-30 04:48:17.463000000,Pacific Rim please   wink wink   ,en,Singapore,238
979581145317855232,2018-03-30 04:48:39.177000000,The CGI on Pacific Rim convinces me they can truly make a successful anime film about Mobile Suit Gundam and make i   ,en,None,139
979581167807574018,2018-03-30 04:48:44.593000000,  If you need voice overs for the kaiju in Pacific Rim 3 hit me up,en,None,34
979581174866632704,2018-03-30 04:48:46.177000000,Stand VR Pacific Rim  La classe    attending Wellington Armageddon 2018 at Westpac Stadium  ,en,None,61
979581181371998208,2018-03-30 04:48:47.783000000,  Pacific rim   ready player one ,en,Kuala Lumpur,212
979581222916472832,2018-03-30 04:48:57.673000000,The best part of Pacific Rim 2 was when they saved the world by destroying Santa Monica,en,Pacific Time (US & Canada),373
979581360875753472,2018-03-30 04:49:30.857000000,so today was really good i came out to my irl best friend and we saw pacific rim im so happy,en,Pacific Time (US & Canada),173
979581481398894593,2018-03-30 04:49:59.290000000,    it s weird that Guillermo del Toro s fish banging movie isn t the one he called Pacific Rim,en,None,20
979581542241509376,2018-03-30 04:50:13.803000000,  I dislike the first pacific rim tho   im surprised they continue it without guillermo del toro  You watc   ,en,Kuala Lumpur,174
979581600538157056,2018-03-30 04:50:27.993000000,Can you guess who did all the work and who was there for the ride    had a bunch of fun with you all saving the Pac   ,en,Pacific Time (US & Canada),163
979581616820576261,2018-03-30 04:50:32.057000000,The fear they won t be able to do Pacific Rim 3     The fear they won t be able to do Pacific Rim 3  ,en,Central Time (US & Canada),93
979581630829404160,2018-03-30 04:50:34.987000000,    Pacific Rim or Ready Player One ,en,None,235
979581669970792448,2018-03-30 04:50:44.320000000,Pacific Rim 2 movie with the kids  Stay strong ,en,Central Time (US & Canada),11
